position,metric,n,mean,sd,sem,ci95_lo,ci95_hi
1,fa_main,7,0.6142857142857142,0.42940835389118176,0.16230110218424026,0.21714922389720448,1.0114222046742238
2,fa_main,7,0.8623973727422004,0.3350337881167551,0.12663086916583444,0.5525427982595308,1.17225194722487
3,fa_main,7,0.738095238095238,0.4034244944860473,0.15248012645743275,0.36498980960246075,1.1112006665880152
4,fa_main,7,0.5047619047619047,0.433943404497497,0.1640151901967264,0.10343119210173718,0.9060926174220723
5,fa_main,7,0.8428571428571429,0.32869792825986605,0.12423613923396504,0.5388622614250561,1.1468520242892297
6,fa_main,7,0.8619047619047618,0.2818119752920188,0.10651491472893725,0.6012721547308284,1.1225373690786953
7,fa_main,7,0.7333333333333334,0.4333333333333334,0.16378460497066516,0.332566842395514,1.1340998242711529
8,fa_main,7,0.6,0.3920506392083856,0.14818121324132813,0.23741363320275288,0.9625863667972471
9,fa_main,7,0.8666666666666668,0.2956474376811127,0.1117442279796701,0.5932383909261657,1.1400949424071678
10,fa_main,7,0.8619047619047618,0.29466149532199964,0.11137157679549047,0.5893883307631731,1.1344211930463506
11,fa_main,7,0.742857142857143,0.4170950179134893,0.15764709864044615,0.3571085888952138,1.128605696819072
12,fa_main,7,0.8666666666666668,0.32375116187407704,0.12236643728386054,0.5672467810943996,1.166086552238934
13,fa_main,7,0.7571428571428572,0.4148691385441946,0.15680579531764857,0.3734528982518891,1.1408328160338255
14,fa_main,7,0.6238095238095239,0.4188672050301091,0.1583169224100531,0.23642197012756488,1.011197077491483
15,fa_main,7,0.780952380952381,0.3660890110631075,0.13836864014093658,0.44237651556470836,1.1195282463400535
16,fa_main,7,0.8666666666666668,0.3243226559850317,0.12258244175433539,0.5667182371956945,1.1666150961376391
17,fa_main,7,0.5285714285714286,0.4274942370972067,0.16157763403892736,0.13320520096161087,0.9239376561812462
18,fa_main,7,0.7380952380952381,0.34556908052947877,0.13061283541060764,0.41849714321737375,1.0576933329731024
19,fa_main,7,0.7333333333333334,0.4350393766767088,0.16442942874387492,0.330989015462947,1.1356776512037197
20,fa_main,7,0.5,0.44388854123195953,0.16777409856157222,0.08947156991452315,0.9105284300854768
21,fa_main,7,0.5952380952380952,0.371896327364063,0.14056359938622512,0.2512913580603459,0.9391848324158445
22,fa_main,7,0.7476190476190476,0.4095422661031065,0.15479242678266536,0.3688556240570523,1.126382471181043
23,fa_main,7,0.3904761904761905,0.4094776644359954,0.15476800964760018,0.011772513491357162,0.7691798674610237
24,fa_main,7,0.7285714285714285,0.3992718239720772,0.1509105645350391,0.3593065797476622,1.0978362773951948
25,fa_main,7,0.8571428571428571,0.2643750742679421,0.09992438562245805,0.6126366937448835,1.1016490205408307
26,fa_main,7,0.6095238095238097,0.41128267548419684,0.15545023969720947,0.22915077574538018,0.9898968433022393
27,fa_main,7,0.3761904761904762,0.4085721685714984,0.15442576438036354,-0.001675756793957539,0.75405670917491
1,rt_correct_key_s,7,0.9626337986665797,0.5485519108373241,0.2073331338978338,0.45530789619694134,1.4699597011362182
2,rt_correct_key_s,7,0.9960698231187447,0.3001796806529778,0.11345725480608086,0.7184499217353698,1.2736897245021197
3,rt_correct_key_s,7,0.6781732285858851,0.19199447535470893,0.07256709069812563,0.500607954353529,0.8557385028182413
4,rt_correct_key_s,7,0.7230511533411461,0.27075880373254546,0.10233720856538032,0.47264102488942156,0.9734612817928707
5,rt_correct_key_s,7,0.7768118993793607,0.2983361827513072,0.11276047809318232,0.5008969491923791,1.0527268495663422
6,rt_correct_key_s,7,0.9448305106123875,0.2942161063888583,0.11120323560209155,0.6727259955319624,1.2169350256928126
7,rt_correct_key_s,7,0.8488209258942376,0.26404064394523374,0.09979798284177727,0.6046240589583296,1.0930177928301457
8,rt_correct_key_s,7,0.7049912456134183,0.2688830195413695,0.10162822878208347,0.456315928195665,0.9536665630311716
9,rt_correct_key_s,7,0.7850778743747028,0.17131480838959953,0.06475091127165172,0.6266381022116612,0.9435176465377444
10,rt_correct_key_s,7,0.8246487689918681,0.1563343725980605,0.059088838752254104,0.6800635891785829,0.9692339488051533
11,rt_correct_key_s,7,0.7633871653201351,0.2132989859308123,0.08061943881074204,0.5661185050614729,0.9606558255787973
12,rt_correct_key_s,7,0.9084905696032669,0.32216017258510066,0.12176509985568926,0.6105421037105291,1.2064390354960048
13,rt_correct_key_s,7,0.7846213965188887,0.19748392457319824,0.07464190747910285,0.6019792285162049,0.9672635645215726
14,rt_correct_key_s,7,0.7416308526726584,0.2982188373177726,0.11271612568823638,0.46582442891096576,1.0174372764343511
15,rt_correct_key_s,7,0.7922006731941585,0.2726679351074351,0.10305879239939586,0.5400248927073867,1.0443764536809304
16,rt_correct_key_s,7,0.7719658817563737,0.27905137818429704,0.1054715070979264,0.5138864010803359,1.0300453624324115
17,rt_correct_key_s,7,0.5821353620412398,0.18507890746194763,0.06995325172397857,0.41096592137170873,0.7533048027107709
18,rt_correct_key_s,7,0.7940061694099789,0.27825339560863077,0.10516989803424415,0.5366646995262778,1.05134763929368
19,rt_correct_key_s,7,0.7162440197808403,0.24801592000128872,0.09374120650118574,0.4868675506524601,0.9456204889092205
20,rt_correct_key_s,7,0.6325010803532718,0.199112437731725,0.075257427596854,0.44835278887984453,0.816649371826699
21,rt_correct_key_s,7,0.6941067812854448,0.2869967232744822,0.10847456526781468,0.42867908198382954,0.95953448058706
22,rt_correct_key_s,7,0.7653419653574626,0.2593955427370405,0.09804229961154799,0.525441100524459,1.0052428301904661
23,rt_correct_key_s,7,0.5959951905389921,0.15529667802915587,0.05869662707137353,0.45236971813581095,0.7396206629421732
24,rt_correct_key_s,7,0.803441875808093,0.2495385860090144,0.09431672015636484,0.5726571754963594,1.0342265761198266
25,rt_correct_key_s,7,0.7537282351067047,0.11981579770912147,0.04528611483930827,0.6429171040140889,0.8645393661993206
26,rt_correct_key_s,7,0.6303513859810472,0.24501734903645944,0.09260785320668327,0.4037481324605194,0.856954639501575
27,rt_correct_key_s,7,0.5427171775272914,0.23043832830751557,0.08709750131987741,0.32959726934256794,0.7558370857120149
