participant,finger,hand,finger_id,finger_name,n,share_pct,reference_n,reference_share_pct
P10,R3,R,3,middle,9,3.345724907063197,28,10.408921933085502
P10,R4,R,4,ring,10,3.717472118959108,27,10.037174721189592
P10,R5,R,5,little,0,0.0,20,7.434944237918216
P11,L1,L,1,thumb,0,0.0,26,9.62962962962963
P11,L2,L,2,index,76,28.14814814814815,40,14.814814814814815
P11,L3,L,3,middle,26,9.62962962962963,30,11.11111111111111
P11,L4,L,4,ring,6,2.2222222222222223,21,7.777777777777778
P11,L5,L,5,little,0,0.0,18,6.666666666666667
P11,R1,R,1,thumb,0,0.0,22,8.148148148148149
P11,R2,R,2,index,113,41.851851851851855,32,11.851851851851851
P11,R3,R,3,middle,33,12.222222222222221,27,10.0
P11,R4,R,4,ring,16,5.925925925925926,30,11.11111111111111
P11,R5,R,5,little,0,0.0,24,8.88888888888889
P12,L1,L,1,thumb,0,0.0,22,8.148148148148149
P12,L2,L,2,index,85,31.48148148148148,38,14.074074074074074
P12,L3,L,3,middle,18,6.666666666666667,24,8.88888888888889
P12,L4,L,4,ring,8,2.962962962962963,22,8.148148148148149
P12,L5,L,5,little,3,1.1111111111111112,23,8.518518518518519
P12,R1,R,1,thumb,2,0.7407407407407407,17,6.296296296296297
P12,R2,R,2,index,92,34.074074074074076,34,12.592592592592593
P12,R3,R,3,middle,41,15.185185185185185,28,10.37037037037037
P12,R4,R,4,ring,17,6.296296296296297,35,12.962962962962964
P12,R5,R,5,little,4,1.4814814814814814,27,10.0
P13,L1,L,1,thumb,1,0.37037037037037035,20,7.407407407407407
P13,L2,L,2,index,30,11.11111111111111,42,15.555555555555555
P13,L3,L,3,middle,34,12.592592592592593,32,11.851851851851851
P13,L4,L,4,ring,17,6.296296296296297,27,10.0
P13,L5,L,5,little,0,0.0,16,5.925925925925926
P13,R1,R,1,thumb,18,6.666666666666667,21,7.777777777777778
P13,R2,R,2,index,118,43.7037037037037,32,11.851851851851851
P13,R3,R,3,middle,36,13.333333333333334,22,8.148148148148149
P13,R4,R,4,ring,16,5.925925925925926,28,10.37037037037037
P13,R5,R,5,little,0,0.0,30,11.11111111111111
P14,L1,L,1,thumb,7,2.5925925925925926,27,10.0
P14,L2,L,2,index,33,12.222222222222221,37,13.703703703703704
P14,L3,L,3,middle,32,11.851851851851851,31,11.481481481481481
P14,L4,L,4,ring,14,5.185185185185185,16,5.925925925925926
P14,L5,L,5,little,4,1.4814814814814814,20,7.407407407407407
P14,R1,R,1,thumb,53,19.62962962962963,22,8.148148148148149
P14,R2,R,2,index,105,38.888888888888886,32,11.851851851851851
P14,R3,R,3,middle,17,6.296296296296297,28,10.37037037037037
P14,R4,R,4,ring,5,1.8518518518518519,33,12.222222222222221
P14,R5,R,5,little,0,0.0,24,8.88888888888889
P15,L1,L,1,thumb,2,0.7407407407407407,19,7.037037037037037
P15,L2,L,2,index,75,27.77777777777778,43,15.925925925925926
P15,L3,L,3,middle,24,8.88888888888889,29,10.74074074074074
P15,L4,L,4,ring,6,2.2222222222222223,29,10.74074074074074
P15,L5,L,5,little,2,0.7407407407407407,17,6.296296296296297
P15,R1,R,1,thumb,9,3.3333333333333335,27,10.0
P15,R2,R,2,index,110,40.74074074074074,33,12.222222222222221
P15,R3,R,3,middle,37,13.703703703703704,26,9.62962962962963
P15,R4,R,4,ring,5,1.8518518518518519,24,8.88888888888889
P15,R5,R,5,little,0,0.0,23,8.518518518518519
P16,L1,L,1,thumb,1,0.37037037037037035,23,8.518518518518519
P16,L2,L,2,index,42,15.555555555555555,36,13.333333333333334
P16,L3,L,3,middle,19,7.037037037037037,33,12.222222222222221
P16,L4,L,4,ring,7,2.5925925925925926,19,7.037037037037037
P16,L5,L,5,little,4,1.4814814814814814,20,7.407407407407407
P16,R1,R,1,thumb,2,0.7407407407407407,21,7.777777777777778
P16,R2,R,2,index,58,21.48148148148148,35,12.962962962962964
P16,R3,R,3,middle,79,29.25925925925926,30,11.11111111111111
P16,R4,R,4,ring,43,15.925925925925926,28,10.37037037037037
P16,R5,R,5,little,15,5.555555555555555,25,9.25925925925926
P17,L1,L,1,thumb,0,0.0,20,7.407407407407407
P17,L2,L,2,index,56,20.74074074074074,27,10.0
P17,L3,L,3,middle,27,10.0,31,11.481481481481481
P17,L4,L,4,ring,9,3.3333333333333335,28,10.37037037037037
P17,L5,L,5,little,3,1.1111111111111112,31,11.481481481481481
P17,R1,R,1,thumb,33,12.222222222222221,24,8.88888888888889
P17,R2,R,2,index,67,24.814814814814813,31,11.481481481481481
P17,R3,R,3,middle,45,16.666666666666668,35,12.962962962962964
P17,R4,R,4,ring,19,7.037037037037037,22,8.148148148148149
P17,R5,R,5,little,11,4.074074074074074,21,7.777777777777778
P18,L1,L,1,thumb,0,0.0,17,6.296296296296297
P18,L2,L,2,index,44,16.296296296296298,36,13.333333333333334
P18,L3,L,3,middle,48,17.77777777777778,28,10.37037037037037
P18,L4,L,4,ring,27,10.0,30,11.11111111111111
P18,L5,L,5,little,2,0.7407407407407407,30,11.11111111111111
P18,R1,R,1,thumb,14,5.185185185185185,16,5.925925925925926
P18,R2,R,2,index,129,47.77777777777778,32,11.851851851851851
P18,R3,R,3,middle,4,1.4814814814814814,31,11.481481481481481
P18,R4,R,4,ring,1,0.37037037037037035,26,9.62962962962963
P18,R5,R,5,little,1,0.37037037037037035,24,8.88888888888889
