metric,effect,label,df1,df2,SS,MS,F,p_uncorrected,partial_eta_sq,mauchly_applicable,mauchly_W,mauchly_p,gg_epsilon,gg_df1,gg_df2,p_gg,correction_applied,p_reported,n_participants
rt_complete_s,condition,Condition (B vs C),1.0,14.0,2.406869076288691,2.406869076288691,88.15794387235506,2.0272286139379108e-07,0.8629573044511075,False,,,1.0,,,,none,2.0272286139379108e-07,15
rt_complete_s,finger_id,Finger ID (1–5),4.0,56.0,0.47677351933508394,0.11919337983377098,19.531657994985345,4.1412373514279237e-10,0.5824841109230656,True,0.08591611826099634,0.00040870466945092446,0.5118034380620476,2.0472137522481906,28.66099253147467,3.911591946573489e-06,Greenhouse–Geisser,3.911591946573489e-06,15
rt_complete_s,condition * finger_id,Condition × Finger ID,4.0,56.0,0.07189037156852862,0.017972592892132155,3.7678745464227057,0.008770164285257728,0.21206107329147653,True,0.22047787127422186,0.028448525013360763,0.614630344290922,2.458521377163688,34.41929928029163,0.025656901857251297,Greenhouse–Geisser,0.025656901857251297,15
rt_s,condition,Condition (B vs C),1.0,14.0,2.3978874673440433,2.3978874673440433,88.39670149566031,1.9940531954035156e-07,0.8632768458797149,False,,,1.0,,,,none,1.9940531954035156e-07,15
rt_s,finger_id,Finger ID (1–5),4.0,56.0,0.43529258370302787,0.10882314592575697,19.55809924576772,4.0529946983889836e-10,0.5828130819487444,True,0.06251285599092933,8.701342098362444e-05,0.49495188012781866,1.9798075205112746,27.717305287157846,5.3236599726349855e-06,Greenhouse–Geisser,5.3236599726349855e-06,15
rt_s,condition * finger_id,Condition × Finger ID,4.0,56.0,0.07396627891586177,0.018491569728965443,4.175151984713899,0.004980932552952621,0.2297175830070299,True,0.23790354888283324,0.038760364077015344,0.6132586530013251,2.4530346120053004,34.342484568074205,0.01771087848631979,Greenhouse–Geisser,0.01771087848631979,15
