participant,finger_id,baseline,cued,benefit,average
P01,1,0.864785022513811,0.7171357028624591,0.14764931965135186,0.790960362688135
P01,2,1.1136806910892703,0.554966272846345,0.5587144182429252,0.8343234819678076
P01,3,1.0390959605574608,0.6506408117711544,0.3884551487863064,0.8448683861643076
P01,4,1.0829819903081777,0.840710615707656,0.24227137460052162,0.9618463030079168
P01,5,1.0506775677204132,0.8109091569979986,0.23976841072241462,0.930793362359206
P02,1,0.807530560144564,0.555682304927281,0.25184825521728305,0.6816064325359226
P02,2,0.7246833408580107,0.6167607038251816,0.10792263703282912,0.6707220223415962
P02,3,0.8264138900627525,0.6945659952648615,0.13184789479789094,0.760489942663807
P02,4,0.814438465663365,0.7178171852178741,0.0966212804454909,0.7661278254406195
P02,5,0.8791726231575012,0.7224551335625027,0.15671748959499854,0.800813878360002
P03,1,0.8867788875804228,0.8333627596134092,0.05341612796701356,0.860070823596916
P03,2,0.8274641623863808,0.6337498218294174,0.19371434055696335,0.730606992107899
P03,3,1.0244662597261627,0.7283820696175098,0.29608419010865283,0.8764241646718363
P03,4,1.0004980477419767,0.799798641564711,0.20069940617726567,0.9001483446533438
P03,5,1.0137733196725651,0.9328187942504883,0.08095452542207682,0.9732960569615268
P04,1,1.0404005845387776,0.8147028022342258,0.22569778230455184,0.9275516933865017
P04,2,1.1175556006254974,0.6876000319757769,0.4299555686497205,0.9025778163006372
P04,3,1.4592876791954041,0.8452838296475618,0.6140038495478424,1.152285754421483
P04,4,1.556030439880659,1.0081257280313745,0.5479047118492846,1.2820780839560166
P04,5,1.1516959539481573,0.9863772927498331,0.16531866119832417,1.0690366233489952
P05,1,1.109553201778515,0.7963827800750732,0.3131704217034418,0.9529679909267941
P05,2,1.164942741394043,0.7279108608922651,0.4370318805017779,0.946426801143154
P05,3,0.9935622476041317,0.8126512220350363,0.18091102556909544,0.903106734819584
P05,4,1.177758754383434,0.8879682603089706,0.28979049407446344,1.0328635073462022
P05,5,1.2278630960555303,0.9430760728551987,0.28478702320033167,1.0854695844553646
P06,1,1.1672453740063835,0.7023042440414429,0.46494112996494064,0.9347748090239132
P06,2,0.8627289516825072,0.6267618953057055,0.2359670563768017,0.7447454234941063
P06,3,1.0751129583878951,0.7919041935135337,0.2832087648743614,0.9335085759507145
P06,4,1.1498910140991212,0.9300499482588335,0.21984106584028773,1.0399704811789774
P06,5,1.2379494943926412,0.8361574187874794,0.40179207560516184,1.0370534565900602
P07,1,0.7920363103189776,0.8480919996897379,-0.05605568937076033,0.8200641550043577
P07,2,0.8547528284900593,0.8395131324466906,0.015239696043368722,0.8471329804683749
P07,3,0.8985564190408458,0.7769252939044304,0.12163112513641539,0.8377408564726381
P07,4,0.9342460883291144,0.7743342822452761,0.15991180608383826,0.8542901852871952
P07,5,0.8945146864110773,0.9141475032357609,-0.01963281682468354,0.9043310948234191
P08,1,0.9997208383348253,0.6941611918997257,0.3055596464350996,0.8469410151172755
P08,2,1.0521008462616892,0.6513463903646,0.40075445589708925,0.8517236183131446
P08,3,1.1977310570803557,0.6871277598234323,0.5106032972569233,0.942429408451894
P08,4,1.3201091686884563,0.7179072541849953,0.6022019145034609,1.0190082114367258
