finger,n,mean,sd,sem,ci95_lo,ci95_hi
L1,15,0.6915416035614299,1.4128288440047336,0.3647908389247873,-0.0908569316388218,1.4739401387616815
L2,15,19.53017029680182,9.931249274247802,2.5642375364130823,14.030427764043896,25.029912829559745
L3,15,11.144636174764344,4.695685550124025,1.2124207956438107,8.544252192112786,13.745020157415901
L4,15,3.5340877876896664,2.5605448041357692,0.6611298255757178,2.1161053388094473,4.952070236569885
L5,15,0.6923711334556735,0.6710760590154446,0.17327109337368818,0.32074159898682425,1.0640006679245226
R1,15,2.667492771581991,5.037972904263882,1.3007990104572151,-0.12244362970329625,5.457429172867278
R2,15,46.495007408229405,13.130607204872609,3.3903082020041824,39.22351950863229,53.76649530782652
R3,15,10.425920788457548,6.856957288779827,1.7704587590066554,6.628664410632598,14.223177166282497
R4,15,4.22544307239789,3.4254387341945884,0.8844444780659637,2.3284983296396007,6.122387815156179
R5,15,0.5933289630602323,0.9161875811391785,0.236558616250273,0.08596119201439045,1.1006967341060743
