condition,n_events,median_ms,mean_ms,sd_ms,min_ms,p95_ms,max_ms
A,268,331.4257860183716,384.49700554805014,221.49061350146846,247.8179931640625,626.8209815025325,2678.7776947021484
B,260,710.8269929885864,744.0716981887817,196.38157972438438,405.5039882659912,1118.3507204055786,1831.2439918518066
C,268,474.76136684417725,514.7078499865177,193.43377427877235,287.69898414611816,859.758555889129,1615.6980991363525
