participant,finger_id,x,y,estimator
P11,1,0.7144648187300738,0.2256857686183032,naive
P11,2,0.7533537578582764,0.2820726232943328,naive
P11,3,0.675767550101647,0.1848614412119836,naive
P11,4,0.7875662878447888,0.2655681506091473,naive
P11,5,0.77572435599107,0.12273084200345552,naive
P11,1,0.6016219344209223,0.2256857686183032,oldham
P11,2,0.6123174462111101,0.2820726232943328,oldham
P11,3,0.5833368294956552,0.1848614412119836,oldham
P11,4,0.6547822125402152,0.2655681506091473,oldham
P11,5,0.7143589349893422,0.12273084200345552,oldham
P11,1,0.7410455226898194,0.2047010023342935,split_half
P11,2,0.827807879447937,0.17039144090984182,split_half
P11,3,0.6936428770422935,0.16752779084529607,split_half
P11,4,0.7911930322647095,0.2603870871521178,split_half
P11,5,0.7626232355833054,0.14369263465587911,split_half
