participant,condition,theta,fa,n_trials,n_events,source
P11,B,0.3,0.9296296296296297,9,270,automatic_target_probability
P11,B,0.35,0.8925925925925926,9,270,automatic_target_probability
P11,B,0.4,0.825925925925926,9,270,automatic_target_probability
P11,B,0.45,0.7666666666666666,9,270,automatic_target_probability
P11,B,0.5,0.6481481481481481,9,270,automatic_target_probability
P11,C,0.3,0.9222222222222223,9,270,automatic_target_probability
P11,C,0.35,0.9000000000000001,9,270,automatic_target_probability
P11,C,0.4,0.8592592592592593,9,270,automatic_target_probability
P11,C,0.45,0.7999999999999999,9,270,automatic_target_probability
P11,C,0.5,0.6703703703703704,9,270,automatic_target_probability
