condition,target_finger,actual_finger,count
A,L1,L2,14
A,L1,L3,5
A,L1,L4,2
A,L1,R2,5
A,L2,L2,21
A,L2,L3,3
A,L2,L4,3
A,L2,R2,13
A,L3,L2,16
A,L3,L3,3
A,L3,R2,11
A,L4,L2,6
A,L4,L3,7
A,L4,L4,1
A,L4,R2,7
A,L5,L2,9
A,L5,L3,8
A,L5,R2,1
A,R1,L2,1
A,R1,R2,15
A,R1,R3,4
A,R1,R4,2
A,R2,L2,4
A,R2,R2,18
A,R2,R3,9
A,R2,R4,1
A,R3,L2,1
A,R3,R2,14
A,R3,R3,8
A,R3,R4,4
A,R4,L2,3
A,R4,R2,18
A,R4,R3,7
A,R4,R4,2
A,R5,L2,1
A,R5,R2,11
A,R5,R3,5
A,R5,R4,7
B,L1,L1,14
B,L1,L2,1
B,L1,R1,1
B,L2,L2,25
B,L3,L2,1
B,L3,L3,31
B,L3,R3,1
B,L4,L3,5
B,L4,L4,28
B,L4,R2,2
B,L5,L4,2
B,L5,L5,30
B,R1,R1,18
B,R1,R2,2
B,R2,R2,25
B,R3,L3,1
B,R3,R3,35
B,R4,R3,2
B,R4,R4,20
B,R5,R4,5
B,R5,R5,21
C,L1,L1,18
C,L1,L2,2
C,L2,L2,36
C,L2,L3,1
C,L3,L2,1
C,L3,L3,28
C,L4,L3,2
C,L4,L4,24
C,L5,L4,2
C,L5,L5,19
C,R1,R1,20
C,R1,R2,2
C,R2,R2,33
C,R2,R3,2
C,R3,R2,1
C,R3,R3,28
C,R4,R3,7
C,R4,R4,23
C,R5,R4,3
C,R5,R5,18
