participant,condition,trial_index,event_index,distance,metric
P11,B,2,5,1,key-index
P11,B,2,7,1,key-index
P11,A,5,21,1,key-index
P11,C,9,29,1,key-index
P11,B,11,9,1,key-index
P11,B,15,27,3,key-index
P11,C,17,13,1,key-index
P11,A,19,17,1,key-index
P11,B,21,7,1,key-index
P11,B,21,25,1,key-index
P11,B,21,26,1,key-index
P11,B,21,27,1,key-index
P11,B,21,28,1,key-index
P11,B,21,29,1,key-index
