condition,target_finger,n,n_judged,fa,rt_s
A,L5,18,18,0.0,0.36958881219228107
A,L4,21,21,0.09523809523809523,0.4896901902698335
A,L3,30,30,0.1,0.3560087521870931
A,L2,40,40,0.55,0.38239904642105105
A,L1,26,26,0.0,0.4058803686728844
A,R1,22,22,0.0,0.32623136043548584
A,R2,32,32,0.5625,0.3167257383465767
A,R3,27,27,0.4074074074074074,0.34226346015930176
A,R4,30,30,0.16666666666666669,0.48419268131256105
A,R5,24,24,0.0,0.3814820448557536
B,L5,32,32,0.90625,0.8259495124220848
B,L4,35,35,0.8285714285714286,0.8729195526668003
B,L3,33,33,0.9090909090909091,0.6790454315416741
B,L2,25,25,1.0,0.7832994079589843
B,L1,16,16,0.9375,0.7383898943662643
B,R1,20,20,0.95,0.7012651681900024
B,R2,25,25,1.0,0.7234081077575684
B,R3,36,36,0.9722222222222223,0.6871339811219109
B,R4,22,22,1.0,0.7288105487823486
B,R5,26,26,0.8846153846153847,0.748996743789086
C,L5,21,21,0.9523809523809524,0.6942962805430094
C,L4,26,26,1.0,0.5568785117222712
C,L3,29,29,0.9655172413793103,0.531299089563304
C,L2,37,37,0.9729729729729729,0.47567016369587667
C,L1,20,20,0.95,0.5170468807220459
C,R1,22,22,0.9545454545454546,0.4554091150110418
C,R2,35,35,0.942857142857143,0.45481467928205216
C,R3,29,29,1.0,0.46938560748922414
C,R4,30,30,1.0,0.491768479347229
C,R5,21,21,0.9047619047619048,0.5860101495470319
