participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P11,C,1,gamma,1799551287-γ-1,843.8522338867188,96.66666666666667,True
P11,B,2,beta,1799551287-β-5,889.4928012575422,83.33333333333334,True
P11,C,3,beta,1799551287-β-9,553.7100632985433,96.66666666666667,True
P11,C,4,alpha,1799551287-α-6,514.1352971394857,100.0,True
P11,A,5,alpha,1799551287-α-9,432.22086182956036,13.333333333333334,True
P11,B,6,alpha,1799551287-α-5,719.4420655568441,100.0,True
P11,C,7,beta,1799551287-β-8,500.84649721781415,100.0,True
P11,B,8,beta,1799551287-β-3,720.1382954915364,96.66666666666667,True
P11,C,9,gamma,1799551287-γ-3,526.676005330579,93.33333333333333,True
P11,B,10,gamma,1799551287-γ-2,799.2207368214926,96.66666666666667,True
P11,B,11,gamma,1799551287-γ-7,754.5194132574672,90.0,True
P11,A,12,beta,1799551287-β-4,433.4120512008667,16.666666666666664,True
P11,A,13,gamma,1799551287-γ-8,487.5709454218546,30.0,True
P11,B,14,beta,1799551287-β-1,685.1233084996541,100.0,True
P11,B,15,alpha,1799551287-α-4,663.8548785242541,96.66666666666667,True
P11,C,16,alpha,1799551287-α-2,425.74520111083984,100.0,True
P11,C,17,gamma,1799551287-γ-9,461.63177490234375,93.33333333333333,True
P11,A,18,beta,1799551287-β-6,332.75619347890216,26.666666666666668,True
P11,A,19,gamma,1799551287-γ-6,387.53115719762343,10.0,True
P11,A,20,beta,1799551287-β-7,340.54927825927734,30.0,True
P11,B,21,alpha,1799551287-α-1,649.7186422348022,80.0,True
P11,A,22,alpha,1799551287-α-8,322.3992904027303,23.333333333333332,True
P11,C,23,beta,1799551287-β-2,430.65314292907715,96.66666666666667,True
P11,C,24,alpha,1799551287-α-7,373.75017007191974,93.33333333333333,True
P11,A,25,gamma,1799551287-γ-5,391.9828812281291,16.666666666666664,True
P11,A,26,alpha,1799551287-α-3,333.7423245112101,36.666666666666664,True
P11,B,27,gamma,1799551287-γ-4,803.6336342493693,96.66666666666667,True
