participant,condition,category,count,n_events,proportion
P11,A,Correct key + correct finger,61,270,0.22592592592592592
P11,A,Correct key + wrong finger,207,270,0.7666666666666667
P11,A,Wrong key + correct finger,0,270,0.0
P11,A,Wrong key + wrong finger,2,270,0.007407407407407408
P11,A,Unresolved finger,0,270,0.0
P11,A,No response (timeout),0,270,0.0
P11,B,Correct key + correct finger,252,270,0.9333333333333333
P11,B,Correct key + wrong finger,8,270,0.02962962962962963
P11,B,Wrong key + correct finger,8,270,0.02962962962962963
P11,B,Wrong key + wrong finger,2,270,0.007407407407407408
P11,B,Unresolved finger,0,270,0.0
P11,B,No response (timeout),0,270,0.0
P11,C,Correct key + correct finger,261,270,0.9666666666666667
P11,C,Correct key + wrong finger,7,270,0.025925925925925925
P11,C,Wrong key + correct finger,2,270,0.007407407407407408
P11,C,Wrong key + wrong finger,0,270,0.0
P11,C,Unresolved finger,0,270,0.0
P11,C,No response (timeout),0,270,0.0
