participant,condition,repetition,fa_main,rt_correct_key_s
P11,B,1,0.9333333333333332,0.802718534545293
P11,B,2,0.9444444444444445,0.712837529091086
P11,B,3,0.9222222222222222,0.7128251949946085
P11,C,1,0.9777777777777779,0.6372325314415827
P11,C,2,0.9777777777777779,0.48442256788641097
P11,C,3,0.9444444444444445,0.4220116959677802
