participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P03,B,1,beta,1799551287-β-8,1097.3156849543252,100.0,True
P03,C,2,gamma,1799551287-γ-5,1009.2193921407064,100.0,True
P03,A,3,alpha,1799551287-α-9,400.88031121662686,13.333333333333334,True
P03,A,4,gamma,1799551287-γ-8,571.4335688229265,20.0,True
P03,C,5,beta,1799551287-β-5,875.5234274370916,93.33333333333333,True
P03,B,6,beta,1799551287-β-4,959.799865196491,93.33333333333333,True
P03,A,7,beta,1799551287-β-2,444.0043290456136,6.666666666666667,True
P03,A,8,alpha,1799551287-α-2,441.23570672396954,30.0,True
P03,B,9,alpha,1799551287-α-7,870.4930464426677,100.0,True
P03,B,10,beta,1799551287-β-1,930.0254265467325,93.33333333333333,True
P03,B,11,alpha,1799551287-α-6,885.9164794286091,100.0,True
P03,C,12,gamma,1799551287-γ-3,809.8181033956593,96.66666666666667,True
P03,C,13,alpha,1799551287-α-8,715.2598857879639,100.0,True
P03,A,14,gamma,1799551287-γ-6,589.5035743713379,13.333333333333334,True
P03,B,15,gamma,1799551287-γ-4,998.242727915446,100.0,True
P03,C,16,beta,1799551287-β-9,667.224891980489,100.0,True
P03,A,17,alpha,1799551287-α-3,390.0461594263713,33.33333333333333,True
P03,B,18,gamma,1799551287-γ-1,970.3583399454752,93.33333333333333,True
P03,C,19,beta,1799551287-β-6,691.9341802597046,100.0,True
P03,C,20,gamma,1799551287-γ-9,825.7652362187703,100.0,True
P03,B,21,alpha,1799551287-α-4,831.3355856928332,93.33333333333333,True
P03,C,22,alpha,1799551287-α-1,615.2512550354004,96.66666666666667,True
P03,A,23,beta,1799551287-β-7,549.4852970386373,26.666666666666668,True
P03,A,24,gamma,1799551287-γ-2,530.3516898836408,6.666666666666667,True
P03,C,25,alpha,1799551287-α-5,710.8702421188354,100.0,True
P03,B,26,gamma,1799551287-γ-7,1017.8185939788817,96.66666666666667,True
P03,A,27,beta,1799551287-β-3,396.53204282124835,13.333333333333334,True
