participant,finger_id,x,y,estimator
P03,1,0.8867788875804228,0.05341612796701356,naive
P03,2,0.8274641623863808,0.19371434055696335,naive
P03,3,1.0244662597261627,0.29608419010865283,naive
P03,4,1.0004980477419767,0.20069940617726567,naive
P03,5,1.0137733196725651,0.08095452542207682,naive
P03,1,0.860070823596916,0.05341612796701356,oldham
P03,2,0.730606992107899,0.19371434055696335,oldham
P03,3,0.8764241646718363,0.29608419010865283,oldham
P03,4,0.9001483446533438,0.20069940617726567,oldham
P03,5,0.9732960569615268,0.08095452542207682,oldham
P03,1,0.9266392389933268,-0.010973670469216046,split_half
P03,2,0.8263873486291795,0.19568069611359162,split_half
P03,3,1.0686969144003733,0.22877667212615838,split_half
P03,4,1.000257126490275,0.20098851167930742,split_half
P03,5,1.0740618956716437,0.042771760622660304,split_half
