participant,condition,theta,fa,n_trials,n_events,source
P03,B,0.3,0.9481481481481482,9,270,automatic_target_probability
P03,B,0.35,0.9481481481481482,9,270,automatic_target_probability
P03,B,0.4,0.9481481481481482,9,270,automatic_target_probability
P03,B,0.45,0.9481481481481482,9,270,automatic_target_probability
P03,B,0.5,0.9074074074074073,9,270,automatic_target_probability
P03,C,0.3,0.9629629629629631,9,270,automatic_target_probability
P03,C,0.35,0.9592592592592593,9,270,automatic_target_probability
P03,C,0.4,0.9592592592592593,9,270,automatic_target_probability
P03,C,0.45,0.9481481481481482,9,270,automatic_target_probability
P03,C,0.5,0.9370370370370371,9,270,automatic_target_probability
