id,participant_id,actuator_type,trial_index,vibration_onset,response_time,reaction_time_ms,is_valid,is_miss,false_start_count,iti_seconds,created_at
1,1,LRA,1,2490227.632318375,2490228.043031958,410.713582765311,1,0,0,3.0739341741435355,2026-04-16 09:35:44
2,1,LRA,2,2490231.82081325,2490232.221564125,400.7508750073612,1,0,0,3.772342943593665,2026-04-16 09:35:48
3,1,LRA,3,2490235.968877666,2490236.171703458,202.82579166814685,1,0,0,3.7398978165249974,2026-04-16 09:35:52
4,1,LRA,4,2490238.345326333,2490238.609718208,264.39187536016107,1,0,0,2.167839309213077,2026-04-16 09:35:55
5,1,LRA,5,2490241.811279833,2490242.007999041,196.71920826658607,1,0,0,3.1954774499226666,2026-04-16 09:35:58
6,1,LRA,6,2490246.837042625,2490247.312008125,474.9654997140169,1,0,0,4.819694177733801,2026-04-16 09:36:03
7,1,LRA,7,2490251.043959125,2490251.351691958,307.732833083719,1,0,0,3.7291357942544887,2026-04-16 09:36:07
8,1,LRA,8,2490255.239250041,2490255.549394625,310.1445836946368,1,0,0,3.8795278214281574,2026-04-16 09:36:12
9,1,LRA,9,2490260.042547541,2490260.37403775,331.49020886048675,1,0,0,4.487009960954675,2026-04-16 09:36:16
10,1,LRA,10,2490264.489564958,2490264.740292666,250.72770798578858,1,0,0,4.11266043877054,2026-04-16 09:36:21
11,1,LRA,11,2490268.966002333,2490269.361390375,395.388042088598,1,0,0,4.218442315442854,2026-04-16 09:36:25
12,1,LRA,12,2490272.593282291,2490273.043898666,450.61637461185455,1,0,0,3.2245951988090034,2026-04-16 09:36:29
13,1,LRA,13,2490275.471132541,2490275.926765791,455.6332500651479,1,0,0,2.4199278553217427,2026-04-16 09:36:32
14,1,LRA,14,2490280.01028925,2490280.363774583,353.48533326759934,1,0,0,4.076169452133278,2026-04-16 09:36:36
15,1,LRA,15,2490285.059390291,2490285.445470375,386.08008390292525,1,0,0,4.690822454175528,2026-04-16 09:36:42
16,1,ERM,1,2490345.704037208,2490346.060051666,356.01445799693465,1,0,0,2.906917690274867,2026-04-16 09:37:42
17,1,ERM,2,2490350.93693675,2490351.327711916,390.7751659862697,1,0,0,4.8695670970515526,2026-04-16 09:37:47
18,1,ERM,3,2490354.204954541,2490354.6731855,468.2309590280056,1,0,0,2.8714745878689634,2026-04-16 09:37:51
19,1,ERM,4,2490356.812147041,2490357.312133916,499.98687533661723,1,0,0,2.1326385974138176,2026-04-16 09:37:53
20,1,ERM,5,2490360.43519775,2490360.897125041,461.92729100584984,1,0,0,3.1183600641482396,2026-04-16 09:37:57
21,1,ERM,6,2490363.663111916,2490364.221787791,558.6758749559522,1,0,0,2.75877421004348,2026-04-16 09:38:00
22,1,ERM,7,2490368.342940583,2490368.573159333,230.2187499590218,1,0,0,4.1026053501786715,2026-04-16 09:38:05
23,1,ERM,8,2490371.116929875,2490371.450501083,333.57120770961046,1,0,0,2.536893563694248,2026-04-16 09:38:08
24,1,ERM,9,2490375.722720041,2490375.973169291,250.44924998655915,1,0,0,4.264951694511309,2026-04-16 09:38:12
25,1,ERM,10,2490378.949573625,2490379.234207875,284.63425021618605,1,0,0,2.9692756396567423,2026-04-16 09:38:15
26,1,ERM,11,2490381.426673291,2490381.779325041,352.65175020322204,1,0,0,2.1863206093354846,2026-04-16 09:38:18
27,1,ERM,12,2490385.70530575,2490386.022467333,317.1615828759968,1,0,0,3.922278938859387,2026-04-16 09:38:22
28,1,ERM,13,2490390.515653333,2490390.84152975,325.87641663849354,1,0,0,4.486172743484428,2026-04-16 09:38:27
29,1,ERM,14,2490395.396741333,2490395.764186458,367.44512524455786,1,0,0,4.548131964992093,2026-04-16 09:38:32
30,1,ERM,15,2490400.164955791,2490400.474278208,309.32241678237915,1,0,0,4.397736155202746,2026-04-16 09:38:37
31,2,LRA,1,2490496.000333208,2490496.3134505,313.11729177832603,1,0,0,3.626301653065885,2026-04-16 09:40:12
