actuator_type,participants,mean_rt_ms_valid,sd_rt_ms_valid,mean_accuracy,sd_accuracy,mean_miss_rate,sd_miss_rate,mean_false_starts,sd_false_starts
LRA,5,276.9805961288512,44.92437930314938,1.0,0.0,0.0,0.0,0.0,0.0
ERM,5,281.6485360016426,49.92486060510312,1.0,0.0,0.0,0.0,0.026666666666666665,0.03651483716701107
