actuator_type,participants,mean_clarity,sd_clarity,mean_comfort,sd_comfort,mean_responsiveness,sd_responsiveness,mean_satisfaction,sd_satisfaction,mean_overall_mean_rating,sd_overall_mean_rating
LRA,5,4.2,0.8366600265340756,4.6,0.5477225575051661,4.2,0.4472135954999579,4.4,0.5477225575051662,4.35,0.518411033833193
ERM,5,3.6,0.5477225575051661,3.0,0.0,3.2,0.4472135954999579,3.0,0.7071067811865476,3.2,0.32596012026013244
