participant,condition,theta,fa,n_trials,n_events,source
P08,B,0.3,0.8814814814814815,9,270,automatic_target_probability
P08,B,0.35,0.8703703703703703,9,270,automatic_target_probability
P08,B,0.4,0.837037037037037,9,270,automatic_target_probability
P08,B,0.45,0.788888888888889,9,270,automatic_target_probability
P08,B,0.5,0.6777777777777777,9,270,automatic_target_probability
P08,C,0.3,0.9592592592592593,9,270,automatic_target_probability
P08,C,0.35,0.9370370370370371,9,270,automatic_target_probability
P08,C,0.4,0.9037037037037039,9,270,automatic_target_probability
P08,C,0.45,0.8037037037037037,9,270,automatic_target_probability
P08,C,0.5,0.637037037037037,9,270,automatic_target_probability
