condition,target_finger,n,n_judged,fa,rt_s
A,L5,24,24,0.0,0.6170999606450399
A,L4,28,28,0.03571428571428572,0.5501069511686053
A,L3,35,35,0.3142857142857143,0.5533969129834856
A,L2,32,32,0.5625,0.5660963729023933
A,L1,22,22,0.045454545454545456,0.6380195075815375
A,R1,18,18,0.05555555555555555,0.7197159263822768
A,R2,32,32,0.65625,0.5716253370046616
A,R3,32,32,0.21875,0.7785970717668533
A,R4,30,30,0.0,0.6934930245081584
A,R5,17,17,0.0,0.645337231018964
B,L5,20,20,0.85,1.1014667749404907
B,L4,26,26,0.8076923076923077,1.3690963708437407
B,L3,36,36,0.8055555555555556,1.2146314448780484
B,L2,38,38,0.9210526315789473,1.0899826350964998
B,L1,17,17,0.9411764705882354,1.0648920956779928
B,R1,21,21,0.9523809523809524,0.9907107920873732
B,R2,31,31,1.0,1.0514910144190635
B,R3,29,29,0.896551724137931,1.136652058568494
B,R4,24,24,0.875,1.2857972979545593
B,R5,28,28,0.8214285714285714,1.2274743148258753
C,L5,27,27,0.8888888888888888,0.8281928963131375
C,L4,28,28,1.0,0.7094493423189435
C,L3,21,21,1.0,0.7355022203354609
C,L2,32,32,1.0,0.6658711582422256
C,L1,23,23,1.0,0.7219448815221372
C,R1,25,25,0.96,0.6748010730743408
C,R2,29,29,1.0,0.6353190602927372
C,R3,31,31,1.0,0.6543579639927033
C,R4,28,28,1.0,0.7263651660510472
C,R5,26,26,0.9615384615384616,0.8230006511394794
