condition,n_events,median_ms,mean_ms,sd_ms,min_ms,p95_ms,max_ms
A,269,512.174129486084,628.4005322864065,388.4984430039927,321.43521308898926,1202.1345138549802,3436.1438751220703
B,268,1087.0884656906128,1157.4153873457838,375.7811326642162,528.285026550293,1871.46121263504,2756.8256855010986
C,270,686.306357383728,714.44282884951,186.2803645517398,399.0662097930908,1060.8860373497,1470.4980850219727
