participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P08,B,1,gamma,1799551287-γ-1,1687.0772412845067,80.0,True
P08,A,2,gamma,1799551287-γ-7,1175.7115523020427,10.0,True
P08,C,3,beta,1799551287-β-2,885.0536108016968,96.66666666666667,True
P08,B,4,alpha,1799551287-α-7,1228.7428696950278,100.0,True
P08,B,5,beta,1799551287-β-6,1309.3425273895264,86.66666666666667,True
P08,A,6,beta,1799551287-β-8,644.2570357487119,26.666666666666668,True
P08,A,7,beta,1799551287-β-3,600.8516947428385,30.0,True
P08,B,8,beta,1799551287-β-5,1063.976001739502,90.0,True
P08,C,9,alpha,1799551287-α-2,740.1425202687582,100.0,True
P08,C,10,gamma,1799551287-γ-5,766.5321985880535,100.0,True
P08,A,11,alpha,1799551287-α-6,525.5747477213541,26.666666666666668,True
P08,A,12,gamma,1799551287-γ-9,630.7522296905518,3.3333333333333335,True
P08,B,13,alpha,1799551287-α-1,1045.7573572794597,93.33333333333333,True
P08,A,14,alpha,1799551287-α-8,540.3322458267212,23.333333333333332,True
P08,B,15,gamma,1799551287-γ-3,1013.6039813359579,80.0,True
P08,A,16,gamma,1799551287-γ-8,583.3962043126423,23.333333333333332,True
P08,C,17,gamma,1799551287-γ-4,728.1787792841593,100.0,True
P08,B,18,gamma,1799551287-γ-6,1104.2648235956826,93.33333333333333,True
P08,C,19,beta,1799551287-β-4,743.5106754302979,100.0,True
P08,B,20,beta,1799551287-β-1,1064.34166431427,90.0,True
P08,A,21,beta,1799551287-β-7,509.8471959431966,36.666666666666664,True
P08,C,22,alpha,1799551287-α-3,567.2500610351562,100.0,True
P08,C,23,beta,1799551287-β-9,635.3700002034504,100.0,True
P08,B,24,alpha,1799551287-α-5,934.9428097407023,83.33333333333334,True
P08,C,25,gamma,1799551287-γ-2,711.2384955088298,90.0,True
P08,A,26,alpha,1799551287-α-9,445.4104344050089,20.0,True
P08,C,27,alpha,1799551287-α-4,652.7091185251873,96.66666666666667,True
